s.no,num1,num2,num3,num4,num5,num6
91,76,47,96,33,100,81
92,10,18,56,70,68,90
93,93,67,71,98,18,52
94,15,25,94,27,58,41
95,11,96,58,51,84,44
96,56,89,47,91,77,55
97,19,29,94,83,33,79
98,72,11,31,24,19,43
99,43,73,59,3,81,39
100,25,75,59,62,24,18
101,99,73,100,74,33,58
102,37,89,50,47,79,84
103,22,16,94,96,67,53
104,74,27,29,98,37,48
105,91,35,92,55,57,28
106,37,2,62,13,72,15
107,89,30,38,95,21,79
108,34,76,55,18,26,84
109,88,43,12,11,99,39
110,42,99,22,32,3,87
111,60,95,19,71,67,57
112,45,32,7,78,73,38
113,41,61,73,80,97,15
114,57,100,66,43,89,68
115,66,24,91,91,9,33
116,15,83,21,1,20,1
117,31,57,27,1,82,27
118,19,15,67,27,91,47
119,21,93,23,62,9,100
120,7,38,26,64,84,70
121,43,47,66,82,15,69
122,16,99,87,86,44,51
123,29,1,62,94,73,91
124,34,30,16,58,63,13
125,81,3,73,4,89,61
126,7,51,18,1,49,62
127,24,79,31,53,99,38
128,79,31,88,97,61,81
129,72,95,4,8,25,48
130,98,1,70,60,18,62
131,53,2,23,16,23,11
132,45,94,27,15,47,48
133,76,54,86,63,98,99
134,27,91,22,26,64,71
135,88,95,20,15,77,93
136,28,99,88,23,48,36
137,35,11,92,83,20,95
138,8,46,77,45,45,50
139,20,73,66,64,99,38
140,13,68,54,100,47,53
141,56,24,5,14,91,65
142,16,61,19,96,45,73
143,11,57,44,19,61,34
144,33,11,35,39,66,56
145,30,22,12,78,67,70
146,49,77,95,49,97,90
147,47,29,24,92,99,55
148,87,62,66,71,25,47
149,74,5,86,93,58,81
150,69,80,9,93,37,30
151,5,34,15,79,22,85
152,49,53,7,56,4,29
153,68,57,40,22,80,92
154,77,47,45,46,80,97
155,37,53,45,42,9,46
156,26,67,35,71,14,58
157,68,57,14,72,43,8
158,43,10,9,45,76,15
159,6,16,52,74,35,96
160,2,84,42,88,54,90
161,79,25,49,50,33,75
162,42,25,10,31,76,33
163,19,50,81,14,61,48
164,12,38,98,99,43,30
165,90,9,43,60,39,100
166,24,33,40,52,87,73
167,38,30,94,15,76,8
168,26,99,1,12,91,23
169,54,38,71,13,21,9
170,6,45,48,89,9,90
171,63,41,36,62,88,62
172,19,62,36,6,22,85
173,5,55,46,51,59,96
174,96,35,51,22,75,44
175,5,13,69,33,74,46
176,100,91,27,70,72,5
